3.35	15.33	0.0251	0.100  -0.0295  0.005229
3.10	14.17	0.0237	0.0934   -0.0432    0.008324
2.96	13.52	0.0229	0.0896   -0.0513    0.010144
2.74	12.53	0.0216	0.0839   -0.0327    0.006164
2.54	11.62	0.0204	0.0786  -0.0257     0.004694
2.16	9.91	0.0182	0.0687     0.007    -0.00221
1.82	8.36	0.0163	0.0598  0.0155      -0.00402
1.53	7.06	0.0146	0.0523  0.0451      -0.01038
1.16	5.33	0.0125	0.0423  0.0115      -0.00292
0.90	4.16	0.0110	0.0355     0.0336   -0.00765
